,total_cup_points,species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,altitude_mean_meters,moisture
711,82.33,Arabica,China,Catimor,7.5,7.42,7.5,7.42,7.42,10.0,1580.0,0.12
712,82.33,Arabica,Brazil,Bourbon,8.25,7.25,8.33,8.17,8.08,10.0,1268.0,0.07
714,82.33,Arabica,Guatemala,Bourbon,7.5,7.17,7.83,7.5,7.5,10.0,1676.4,0.1
715,82.33,Arabica,Malawi,Gesha,7.33,7.42,7.58,7.33,7.5,10.0,1450.0,0.12
716,82.33,Arabica,Brazil,Bourbon,7.75,7.67,8.08,8.08,8.0,6.67,1100.0,0.11
717,82.33,Arabica,Guatemala,Pacas,7.58,7.5,7.58,7.75,7.5,10.0,1524.0,0.12
719,82.33,Arabica,Colombia,Caturra,7.42,7.5,7.17,7.08,8.33,10.0,1300.0,0.1
720,82.33,Arabica,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,10.0,200.0,0.11
721,82.33,Arabica,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,10.0,600.0,0.11
722,82.33,Arabica,Guatemala,Bourbon,7.5,7.58,7.5,7.5,7.58,10.0,1310.64,0.12
723,82.33,Arabica,Colombia,Caturra,7.5,7.5,7.5,7.5,7.58,10.0,1750.0,0.0
724,82.33,Arabica,Mexico,Typica,7.67,7.42,7.5,7.42,7.42,10.0,1300.0,0.12
726,82.33,Arabica,Guatemala,Bourbon,7.67,7.33,7.67,7.5,7.33,10.0,1752.6,0.11
727,82.33,Arabica,Mexico,Typica,7.58,7.58,7.33,7.0,7.58,10.0,441.0,0.15
728,82.33,Arabica,Mexico,Bourbon,7.67,7.5,7.58,7.5,7.5,10.0,1170.0,0.13
729,82.33,Arabica,Guatemala,Bourbon,7.5,7.33,7.5,7.33,7.5,10.0,1310.64,0.1
730,82.33,Arabica,Brazil,Mundo Novo,7.58,7.42,7.5,7.5,7.42,10.0,1100.0,0.12
731,82.33,Arabica,Mexico,Typica,8.0,7.33,7.33,7.08,7.67,10.0,1300.0,0.11
732,82.33,Arabica,Brazil,Mundo Novo,7.58,7.25,7.58,7.42,7.5,10.0,950.0,0.11
733,82.33,Arabica,Colombia,Caturra,7.83,7.33,7.25,7.58,7.42,10.0,442.0,0.0
734,82.25,Arabica,Brazil,Catuai,7.58,7.25,7.42,7.67,7.33,10.0,1100.0,0.09
736,82.25,Arabica,Guatemala,Pacas,7.67,7.25,7.67,7.42,7.42,10.0,1450.0,0.11
737,82.25,Arabica,Brazil,Yellow Bourbon,7.42,7.5,7.08,7.5,7.42,10.0,1.0,0.0
738,82.25,Arabica,El Salvador,Bourbon,7.58,7.5,7.67,7.83,8.42,9.33,1500.0,0.12
739,82.25,Arabica,Honduras,Catuai,7.58,7.42,7.58,7.42,7.42,10.0,1350.0,0.11
740,82.25,Arabica,Malawi,Gesha,7.58,7.33,7.42,7.58,7.5,10.0,1180.0,0.13
741,82.25,Arabica,Brazil,Bourbon,7.75,7.42,7.42,7.33,7.33,10.0,1100.0,0.11
742,82.25,Arabica,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,10.0,650.0,0.11
743,82.25,Arabica,Mexico,Mundo Novo,7.58,7.42,7.42,7.42,7.42,10.0,1338.0,0.12
745,82.25,Arabica,Mexico,Bourbon,7.58,7.5,7.17,7.42,7.42,10.0,533.0,0.16
746,82.25,Arabica,Guatemala,Bourbon,7.5,7.33,7.58,7.67,7.33,10.0,1390.8024,0.11
747,82.25,Arabica,Mexico,Bourbon,7.5,7.42,7.67,7.33,7.42,10.0,1170.0,0.13
748,82.25,Arabica,Mexico,Typica,7.67,7.33,7.5,7.42,7.42,10.0,1250.0,0.12
750,82.25,Arabica,Mexico,Typica,7.33,7.42,7.67,7.33,7.5,10.0,1100.0,0.11
751,82.25,Arabica,Mexico,Typica,7.42,7.42,7.58,7.42,7.5,10.0,900.0,0.1
752,82.25,Arabica,Colombia,Caturra,7.5,7.67,7.33,7.58,7.33,10.0,1750.0,0.12
753,82.25,Arabica,Colombia,Caturra,7.67,7.33,7.33,7.5,7.5,10.0,1775.0,0.11
756,82.17,Arabica,Brazil,Bourbon,7.42,7.5,7.42,7.42,7.5,10.0,934.0,0.11
757,82.17,Arabica,Honduras,Caturra,7.5,7.17,7.42,7.5,7.5,10.0,1500.0,0.11
759,82.17,Arabica,"Tanzania, United Republic Of",Bourbon,7.58,7.42,7.33,7.5,7.42,10.0,1650.0,0.13
760,82.17,Arabica,"Tanzania, United Republic Of",Other,7.42,7.42,7.5,7.5,7.33,10.0,1600.0,0.12
761,82.17,Arabica,Brazil,Yellow Bourbon,6.92,7.42,7.33,7.83,7.5,10.0,1.0,0.0
763,82.17,Arabica,Honduras,Catuai,7.67,7.25,7.42,7.58,7.42,10.0,1350.0,0.11
764,82.17,Arabica,Guatemala,Bourbon,7.42,7.5,7.5,7.42,7.5,10.0,1500.0,0.09
766,82.17,Arabica,"Tanzania, United Republic Of",Other,7.75,7.42,7.58,7.33,7.42,10.0,1700.0,0.12
767,82.17,Arabica,Mexico,Other,7.42,7.17,7.42,7.33,8.17,10.0,1100.0,0.12
768,82.17,Arabica,Mexico,Other,7.5,7.33,7.42,7.5,7.42,10.0,1400.0,0.1
769,82.17,Arabica,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,10.0,1200.0,0.11
770,82.17,Arabica,Taiwan,Typica,7.67,7.5,7.17,7.17,7.58,10.0,800.0,0.0
771,82.17,Arabica,Colombia,Caturra,7.33,7.25,7.58,7.75,7.5,10.0,1750.0,0.0
772,82.17,Arabica,Mexico,Typica,7.5,7.0,7.5,7.33,7.5,10.0,1144.0,0.15
773,82.17,Arabica,Guatemala,Caturra,7.25,7.0,7.75,8.17,7.75,9.33,1350.0,0.12
774,82.17,Arabica,Mexico,Typica,7.5,7.25,7.5,7.5,7.33,10.0,1000.0,0.12
775,82.17,Arabica,Mexico,Typica,7.0,7.5,7.5,7.42,7.5,10.0,1200.0,0.1
777,82.08,Arabica,Indonesia,Bourbon,7.5,7.42,7.42,7.5,7.42,10.0,1300.0,0.15
779,82.08,Arabica,Brazil,Bourbon,7.42,7.42,7.5,7.42,7.25,10.0,894.0,0.11
780,82.08,Arabica,Brazil,Yellow Bourbon,7.25,7.58,7.58,7.25,7.92,10.0,1.0,0.0
781,82.08,Arabica,Costa Rica,Caturra,7.75,7.42,7.25,7.17,7.42,10.0,1300.0,0.0
782,82.08,Arabica,"Tanzania, United Republic Of",Bourbon,7.42,7.42,7.42,7.5,7.58,10.0,1500.0,0.12
783,82.08,Arabica,"Tanzania, United Republic Of",Other,7.42,7.5,7.33,7.33,7.5,10.0,1600.0,0.12
785,82.08,Arabica,Costa Rica,Caturra,7.58,7.33,7.33,7.5,7.67,10.0,13.0,0.11
787,82.08,Arabica,Mexico,Typica,7.42,7.5,7.33,7.42,7.42,10.0,1300.0,0.13
788,82.08,Arabica,Mexico,Typica,7.5,7.42,7.5,7.25,7.5,10.0,1800.0,0.13
789,82.08,Arabica,Mexico,Typica,7.67,7.25,7.58,7.42,7.33,10.0,1250.0,0.11
790,82.08,Arabica,Vietnam,Other,7.67,7.17,7.08,7.67,7.08,10.0,1040.0,0.12
791,82.08,Arabica,Mexico,Typica,7.58,7.25,7.75,7.33,7.42,10.0,1250.0,0.11
794,82.0,Arabica,Honduras,Caturra,7.5,7.17,7.5,7.5,7.42,10.0,1600.0,0.12
795,82.0,Arabica,Honduras,Caturra,7.5,7.25,7.33,7.42,7.5,10.0,1600.0,0.1
796,82.0,Arabica,Brazil,Bourbon,7.5,7.42,7.5,7.33,7.42,10.0,944.0,0.11
797,82.0,Arabica,"Tanzania, United Republic Of",Other,7.67,7.33,7.42,7.42,7.42,10.0,1650.0,0.13
798,82.0,Arabica,Laos,Other,7.42,7.25,7.33,7.5,7.5,10.0,1250.0,0.12
799,82.0,Arabica,"Tanzania, United Republic Of",Other,7.42,7.33,7.58,7.33,7.42,10.0,1350.0,0.12
800,82.0,Arabica,Malawi,Gesha,7.5,7.33,7.58,7.33,7.5,10.0,2500.0,0.13
801,82.0,Arabica,Taiwan,Typica,7.33,7.17,7.42,7.5,7.33,10.0,600.0,0.09
803,82.0,Arabica,Costa Rica,Catuai,7.5,7.33,7.33,7.75,7.5,10.0,1300.0,0.1
804,82.0,Arabica,Honduras,Caturra,7.33,7.33,7.5,7.5,7.83,10.0,1400.0,0.11
805,82.0,Arabica,Colombia,Caturra,7.33,7.58,7.5,7.5,7.58,10.0,1900.0,0.11
806,82.0,Arabica,Taiwan,Typica,7.42,7.33,7.42,8.0,7.5,10.0,650.0,0.12
807,82.0,Arabica,Brazil,Mundo Novo,7.33,7.42,7.17,7.33,7.42,10.0,1038.5,0.11
808,82.0,Arabica,Mexico,Typica,7.67,7.25,7.5,7.42,7.42,10.0,940.0,0.12
809,82.0,Arabica,Brazil,Mundo Novo,7.42,7.33,7.5,7.33,7.5,10.0,1000.0,0.12
810,82.0,Arabica,Brazil,Catuai,7.42,7.25,7.5,7.5,7.42,10.0,1050.0,0.11
812,82.0,Arabica,Brazil,Mundo Novo,7.58,7.17,7.5,7.5,7.42,10.0,950.0,0.12
813,82.0,Arabica,Guatemala,Bourbon,7.75,7.33,7.42,7.75,7.67,9.33,1402.08,0.0
814,82.0,Arabica,Colombia,Caturra,7.33,7.08,7.42,7.5,7.67,10.0,1775.0,0.07
815,81.92,Arabica,Guatemala,Bourbon,7.58,7.25,7.58,7.58,7.5,10.0,1901.0,0.1
816,81.92,Arabica,Guatemala,Bourbon,7.5,7.25,7.42,7.42,7.42,10.0,1219.2,0.11
817,81.92,Arabica,Honduras,Caturra,7.58,7.25,7.33,7.42,7.5,10.0,1400.0,0.12
818,81.92,Arabica,Brazil,Catuai,7.42,7.33,7.5,7.5,7.33,10.0,1020.0,0.11
819,81.92,Arabica,El Salvador,Bourbon,7.67,7.33,7.5,7.5,7.67,9.33,1250.0,0.11
820,81.92,Arabica,Guatemala,Catuai,7.58,7.17,7.83,7.17,7.33,10.0,1550.0,0.11
821,81.92,Arabica,"Tanzania, United Republic Of",Other,7.33,7.33,7.42,7.5,7.58,10.0,1877.0,0.12
823,81.92,Arabica,Zambia,SL28,7.67,7.42,7.33,7.75,7.42,10.0,1250.0,0.0
825,81.92,Arabica,Taiwan,Typica,7.5,7.42,7.25,7.5,7.5,10.0,1000.0,0.11
826,81.92,Arabica,Mexico,Bourbon,7.58,7.25,7.58,7.5,7.25,10.0,1300.0,0.12
827,81.92,Arabica,Mexico,Typica,7.5,7.25,7.25,7.5,7.5,10.0,981.0,0.13
828,81.92,Arabica,Mexico,Mundo Novo,7.5,7.25,7.5,7.33,7.33,10.0,690.0,0.14
829,81.92,Arabica,Mexico,Other,7.33,7.17,7.58,7.42,7.33,10.0,1650.0,0.12
830,81.92,Arabica,Mexico,Bourbon,7.67,7.33,7.83,7.5,7.5,10.0,1000.0,0.12
831,81.92,Arabica,Brazil,Mundo Novo,7.42,7.25,7.5,7.33,7.5,10.0,1100.0,0.12
833,81.83,Arabica,Guatemala,Bourbon,7.42,7.25,7.5,7.33,7.42,10.0,157.8864,0.1
834,81.83,Arabica,Costa Rica,Catuai,7.25,7.5,7.33,7.67,7.42,10.0,1900.0,0.0
835,81.83,Arabica,Brazil,Mundo Novo,7.42,7.42,7.5,7.42,7.25,10.0,973.0,0.11
836,81.83,Arabica,Indonesia,Other,7.75,7.58,7.75,7.92,7.83,10.0,1250.0,0.11
837,81.83,Arabica,Guatemala,Bourbon,7.58,7.33,7.42,7.58,7.25,10.0,3280.0,0.1
838,81.83,Arabica,Brazil,Yellow Bourbon,7.17,6.83,7.5,7.75,7.25,10.0,1.0,0.0
839,81.83,Arabica,Brazil,Yellow Bourbon,7.58,6.92,6.92,7.67,7.5,10.0,1.0,0.0
840,81.83,Arabica,Myanmar,Catuai,7.33,7.5,7.42,7.33,7.33,10.0,4001.0,0.0
841,81.83,Arabica,Mexico,Catuai,7.58,7.33,7.5,7.17,7.33,10.0,1425.0,0.11
842,81.83,Arabica,Honduras,Catuai,7.5,7.33,7.5,7.42,7.25,10.0,1400.0,0.12
843,81.83,Arabica,Costa Rica,Caturra,7.67,7.5,7.25,7.08,7.42,10.0,1300.0,0.09
844,81.83,Arabica,Taiwan,Typica,7.67,7.17,7.25,7.75,7.33,10.0,700.0,0.0
845,81.83,Arabica,Indonesia,Typica,7.42,7.42,7.33,7.42,7.42,10.0,1300.0,0.11
846,81.83,Arabica,Malawi,Gesha,7.58,7.33,7.33,7.33,7.42,10.0,1556.0,0.13
847,81.83,Arabica,Brazil,Bourbon,7.33,7.25,7.17,7.83,7.33,10.0,1100.0,0.11
848,81.83,Arabica,Honduras,Caturra,7.5,7.33,7.33,7.33,7.33,10.0,1350.0,0.1
849,81.83,Arabica,Mexico,Typica,7.42,7.25,7.5,7.33,7.42,10.0,1550.0,0.11
850,81.83,Arabica,Colombia,Caturra,7.5,7.0,7.42,7.5,7.58,10.0,1775.0,0.0
852,81.83,Arabica,Brazil,Bourbon,7.75,7.5,7.42,7.83,7.75,9.33,1250.0,0.12
853,81.83,Arabica,Guatemala,Bourbon,7.83,7.33,7.33,7.67,7.83,9.33,1310.64,0.11
854,81.83,Arabica,Mexico,Bourbon,7.83,7.25,7.58,7.25,7.33,10.0,1500.0,0.12
855,81.83,Arabica,Mexico,Typica,7.33,7.25,7.5,7.5,7.5,10.0,1250.0,0.12
856,81.83,Arabica,Brazil,Mundo Novo,7.33,7.25,7.5,7.5,7.25,10.0,925.0,0.02
859,81.75,Arabica,Guatemala,Bourbon,7.5,7.25,7.42,7.42,7.33,10.0,1700.0,0.11
860,81.75,Arabica,Vietnam,Caturra,7.0,7.33,7.5,7.5,7.33,10.0,1040.0,0.12
861,81.75,Arabica,"Tanzania, United Republic Of",Other,7.42,7.42,7.42,7.33,7.33,10.0,1600.0,0.12
863,81.75,Arabica,Mexico,Bourbon,7.5,7.33,7.42,7.25,7.25,10.0,774.0,0.13
864,81.75,Arabica,Mexico,Mundo Novo,7.42,7.17,7.67,7.33,7.42,10.0,1250.0,0.13
865,81.75,Arabica,Mexico,Typica,7.42,7.33,7.58,7.33,7.33,10.0,1100.0,0.11
866,81.75,Arabica,Mexico,Caturra,7.33,7.33,7.67,7.42,7.25,10.0,1550.0,0.12
867,81.75,Arabica,Mexico,Typica,7.5,7.25,7.33,7.67,7.25,10.0,1650.0,0.12
868,81.75,Arabica,Colombia,Caturra,7.33,7.33,7.33,7.5,7.67,10.0,1750.0,0.0
870,81.67,Arabica,Brazil,Bourbon,7.42,7.25,7.5,7.5,7.25,10.0,890.0,0.11
871,81.67,Arabica,Guatemala,Bourbon,7.42,7.08,7.42,7.33,7.42,10.0,1700.0,0.1
872,81.67,Arabica,Guatemala,Bourbon,7.42,7.17,7.67,7.33,7.42,10.0,1219.2,0.12
873,81.67,Arabica,Honduras,Catuai,7.58,7.33,7.33,7.42,7.25,10.0,1450.0,0.11
877,81.67,Arabica,Brazil,Yellow Bourbon,7.25,6.92,7.42,7.5,7.58,10.0,1.0,0.0
878,81.67,Arabica,"Tanzania, United Republic Of",Other,7.42,7.25,7.42,7.5,7.42,10.0,1500.0,0.12
879,81.67,Arabica,"Tanzania, United Republic Of",Other,7.33,7.5,7.25,7.42,7.33,10.0,1700.0,0.12
880,81.67,Arabica,Brazil,Bourbon,7.25,7.25,7.5,7.5,7.42,10.0,1260.0,0.1
882,81.67,Arabica,Honduras,Caturra,7.5,7.5,7.5,7.17,7.17,10.0,1400.0,0.1
883,81.67,Arabica,Costa Rica,Caturra,7.5,7.17,7.17,7.5,7.08,10.0,1850.0,0.11
885,81.67,Arabica,Taiwan,Typica,7.5,7.5,7.25,7.42,7.25,10.0,150.0,0.11
886,81.67,Arabica,Taiwan,Typica,7.58,7.33,7.42,7.33,7.33,10.0,750.0,0.11
887,81.67,Arabica,Mexico,Typica,7.5,7.08,7.58,7.33,7.33,10.0,1400.0,0.12
888,81.67,Arabica,Guatemala,Bourbon,7.5,7.33,7.33,7.33,7.33,10.0,1752.6,0.11
889,81.67,Arabica,Mexico,Typica,7.25,7.58,7.67,7.67,7.58,10.0,1650.0,0.13
890,81.67,Arabica,Mexico,Bourbon,7.67,7.17,7.75,7.5,7.25,10.0,1400.0,0.11
891,81.67,Arabica,Mexico,Bourbon,7.5,7.33,7.42,7.42,7.42,10.0,1200.0,0.11
892,81.67,Arabica,Mexico,Bourbon,7.58,7.25,7.58,7.25,7.17,10.0,1400.0,0.11
893,81.67,Arabica,Mexico,Caturra,7.75,7.25,7.17,7.58,7.33,10.0,940.0,0.11
895,81.58,Arabica,Honduras,Catimor,7.5,7.08,7.42,7.5,7.33,10.0,1200.0,0.11
896,81.58,Arabica,Guatemala,Bourbon,7.42,7.08,7.5,7.42,7.33,10.0,190164.0,0.12
897,81.58,Arabica,Taiwan,Typica,7.42,7.25,7.67,7.33,7.25,10.0,800.0,0.1
898,81.58,Arabica,Costa Rica,Caturra,7.58,7.5,7.17,7.08,7.58,10.0,13.0,0.12
899,81.58,Arabica,"Tanzania, United Republic Of",Other,7.42,7.33,7.42,7.42,7.33,10.0,1800.0,0.12
900,81.58,Arabica,Malawi,Gesha,7.42,7.17,7.58,7.33,7.33,10.0,1100.0,0.13
901,81.58,Arabica,Taiwan,Typica,7.33,7.08,7.08,8.33,8.25,9.33,850.0,0.0
902,81.58,Arabica,Brazil,Yellow Bourbon,7.42,7.33,7.33,7.5,7.25,10.0,1260.0,0.12
903,81.58,Arabica,Guatemala,Bourbon,7.42,7.17,7.58,7.42,7.5,10.0,1310.64,0.12
904,81.58,Arabica,Mexico,Typica,7.67,7.42,7.5,6.75,7.42,10.0,1400.0,0.12
905,81.58,Arabica,Mexico,Marigojipe,7.33,7.25,7.5,7.5,7.17,10.0,1600.0,0.11
906,81.58,Arabica,Mexico,Typica,7.67,7.42,7.58,7.58,7.42,8.67,1650.0,0.11
910,81.5,Arabica,Guatemala,Bourbon,7.67,7.17,7.42,7.33,7.42,10.0,1219.2,0.1
911,81.5,Arabica,Nicaragua,Caturra,7.5,7.33,7.33,7.25,7.33,10.0,1100.0,0.11
912,81.5,Arabica,Honduras,Caturra,7.5,7.33,7.42,7.17,7.25,10.0,1400.0,0.1
914,81.5,Arabica,Taiwan,Typica,7.5,7.33,7.08,7.58,7.25,10.0,180.0,0.12
915,81.5,Arabica,Myanmar,Catuai,7.25,7.25,7.5,7.33,7.33,10.0,1219.2,0.0
916,81.5,Arabica,Costa Rica,Caturra,7.83,7.08,7.08,7.33,7.5,10.0,1200.0,0.12
917,81.5,Arabica,Malawi,Gesha,7.67,6.92,7.5,7.5,7.17,10.0,1599.0,0.12
918,81.5,Arabica,Guatemala,Other,7.5,7.17,7.58,7.25,7.42,10.0,1219.2,0.12
919,81.5,Arabica,Taiwan,Typica,7.42,7.67,7.33,7.42,7.5,9.33,900.0,0.11
920,81.5,Arabica,Brazil,Yellow Bourbon,7.58,7.5,7.67,7.67,7.83,9.33,1200.0,0.0
921,81.5,Arabica,Haiti,Blue Mountain,7.42,7.25,7.42,7.42,7.33,10.0,825.0,0.11
922,81.5,Arabica,Taiwan,Typica,7.5,7.25,7.25,7.33,7.33,10.0,600.0,0.11
923,81.5,Arabica,Mexico,Typica,7.33,7.17,7.42,7.5,7.5,10.0,1150.0,0.13
924,81.5,Arabica,Mexico,Typica,7.58,7.25,7.42,7.33,7.33,10.0,1600.0,0.12
925,81.5,Arabica,Mexico,Catuai,7.42,7.17,7.42,7.17,8.0,10.0,1100.0,0.12
926,81.5,Arabica,Mexico,Typica,7.33,7.33,7.33,7.33,7.42,10.0,1000.0,0.11
927,81.5,Arabica,Mexico,Bourbon,7.42,7.33,7.17,7.25,7.42,10.0,1250.0,0.13
928,81.5,Arabica,Mexico,Typica,7.5,7.25,7.5,7.42,7.58,10.0,1100.0,0.11
929,81.5,Arabica,Indonesia,Other,7.75,7.17,7.33,7.58,7.33,10.0,1400.0,0.12
930,81.5,Arabica,Brazil,Bourbon,7.5,7.17,7.42,7.5,7.33,10.0,125.0,0.12
934,81.42,Arabica,Mexico,Mundo Novo,7.58,7.08,7.33,7.5,7.33,10.0,1100.0,0.12
935,81.42,Arabica,Guatemala,Catuai,7.42,7.08,7.58,7.33,7.25,10.0,1371.6,0.1
936,81.42,Arabica,Brazil,Catuai,7.33,7.5,7.33,6.83,7.42,10.0,1100.0,0.11
937,81.42,Arabica,Honduras,Catuai,7.5,7.17,7.25,7.5,7.42,10.0,1400.0,0.12
938,81.42,Arabica,Taiwan,Typica,7.83,7.42,7.17,7.08,7.08,10.0,110.0,0.12
939,81.42,Arabica,Malawi,Gesha,7.58,7.33,7.42,7.08,7.42,10.0,1422.0,0.12
940,81.42,Arabica,Brazil,Bourbon,7.25,7.42,7.17,7.33,7.33,10.0,1100.0,0.0
941,81.42,Arabica,Guatemala,Bourbon,7.42,7.17,7.42,7.42,7.42,10.0,1550.0,0.1
942,81.42,Arabica,Mexico,Typica,7.67,7.25,7.17,7.25,7.42,10.0,1550.0,0.0
944,81.42,Arabica,Guatemala,Bourbon,7.42,7.25,7.42,7.42,7.5,10.0,1310.64,0.12
945,81.42,Arabica,Mexico,Caturra,7.42,7.25,7.17,7.25,7.42,10.0,763.0,0.13
946,81.42,Arabica,Mexico,Typica,7.42,7.25,7.25,7.5,7.33,10.0,1100.0,0.13
947,81.42,Arabica,Colombia,Caturra,7.5,7.25,7.17,7.17,7.75,10.0,1750.0,0.11
951,81.33,Arabica,Honduras,Caturra,7.5,7.0,7.17,7.5,7.33,10.0,1500.0,0.11
953,81.33,Arabica,Brazil,Catuai,7.25,7.33,7.33,7.33,7.42,10.0,1100.0,0.11
954,81.33,Arabica,Honduras,Catuai,7.58,7.17,7.42,7.17,7.17,10.0,1350.0,0.09
955,81.33,Arabica,Brazil,Yellow Bourbon,7.17,7.42,7.25,7.42,7.33,10.0,1200.0,0.12
956,81.33,Arabica,Philippines,Other,7.08,7.42,7.33,7.33,7.5,10.0,1400.0,0.14
957,81.33,Arabica,Malawi,Gesha,7.75,7.08,7.33,7.33,7.25,10.0,1200.0,0.13
958,81.33,Arabica,Honduras,Catuai,7.33,7.17,7.33,7.5,7.33,10.0,1450.0,0.12
959,81.33,Arabica,Mexico,Typica,7.58,7.25,7.33,7.25,7.25,10.0,1800.0,0.13
960,81.33,Arabica,Mexico,Typica,7.33,7.17,7.42,7.58,7.33,10.0,1000.0,0.12
961,81.33,Arabica,Brazil,Catuai,7.5,7.5,7.5,7.75,7.83,9.33,1100.0,0.11
962,81.25,Arabica,Taiwan,Typica,7.83,7.67,7.83,7.83,7.75,10.0,680.0,0.12
963,81.25,Arabica,Brazil,Yellow Bourbon,7.17,7.17,7.08,6.92,8.17,10.0,1.0,0.0
964,81.25,Arabica,Nicaragua,Catuai,7.08,7.33,7.17,7.42,7.25,10.0,1100.0,0.1
965,81.25,Arabica,Honduras,Catuai,7.42,7.17,7.5,7.33,7.25,10.0,1400.0,0.12
966,81.25,Arabica,Guatemala,Pacamara,7.33,7.17,7.25,7.42,7.33,10.0,1700.0,0.09
967,81.25,Arabica,"Tanzania, United Republic Of",Other,7.33,7.17,7.5,7.25,7.42,10.0,1700.0,0.13
968,81.25,Arabica,Taiwan,Typica,7.5,7.25,7.25,7.25,7.25,10.0,650.0,0.11
969,81.25,Arabica,Guatemala,Caturra,7.5,7.5,7.58,7.0,7.25,10.0,1524.0,0.11
970,81.25,Arabica,Mexico,Typica,7.42,7.33,7.33,7.5,7.42,10.0,1500.0,0.12
972,81.17,Arabica,"Tanzania, United Republic Of",Bourbon,7.67,7.17,7.33,7.5,7.17,10.0,1050.0,0.12
973,81.17,Arabica,Mexico,Caturra,7.75,7.08,7.25,7.08,7.25,10.0,1200.0,0.12
974,81.17,Arabica,Costa Rica,Caturra,7.5,7.33,7.17,7.08,7.17,10.0,1300.0,0.11
975,81.17,Arabica,Honduras,Catuai,7.42,7.0,7.42,7.33,7.33,10.0,1450.0,0.13
976,81.17,Arabica,Thailand,Caturra,6.83,7.42,7.17,7.5,7.42,10.0,1450.0,0.12
977,81.17,Arabica,Philippines,Typica,7.25,7.25,7.08,7.58,7.5,10.0,1200.0,0.0
978,81.17,Arabica,"Tanzania, United Republic Of",Bourbon,7.58,7.17,7.33,7.33,7.25,10.0,1550.0,0.12
979,81.17,Arabica,Malawi,Caturra,7.58,7.33,7.08,7.33,7.33,10.0,995.0,0.12
980,81.17,Arabica,Costa Rica,Catuai,7.33,7.33,7.25,7.33,7.58,10.0,1300.0,0.11
982,81.17,Arabica,Mexico,Typica,7.42,7.08,7.75,7.42,7.17,10.0,1800.0,0.13
983,81.17,Arabica,Guatemala,Caturra,7.42,7.33,7.25,7.25,7.42,10.0,1450.0,0.12
984,81.17,Arabica,Brazil,Mundo Novo,7.42,7.25,7.42,7.5,7.17,10.0,1000.0,0.12
987,81.08,Arabica,Brazil,Mundo Novo,7.58,7.5,7.25,7.75,7.58,9.33,695.0,0.11
988,81.08,Arabica,Nicaragua,Other,7.33,7.33,7.42,7.33,7.33,10.0,1100.0,0.11
989,81.08,Arabica,United States,Pache Comun,7.42,7.33,7.42,7.25,7.33,10.0,1706.88,0.0
990,81.08,Arabica,"Tanzania, United Republic Of",Other,7.42,7.33,7.25,7.25,7.33,10.0,1456.0,0.13
991,81.08,Arabica,Costa Rica,Caturra,7.42,7.17,7.25,7.25,7.58,10.0,1500.0,0.13
992,81.08,Arabica,United States (Puerto Rico),Other,7.67,7.67,7.58,7.58,7.67,10.0,853.44,0.0
993,81.08,Arabica,Mexico,Typica,7.25,7.33,7.33,7.17,7.33,10.0,1650.0,0.13
994,81.08,Arabica,Mexico,Typica,7.33,7.33,7.42,7.25,7.42,10.0,1300.0,0.12
995,81.08,Arabica,Mexico,Typica,7.33,7.25,7.42,7.25,7.25,10.0,1642.0,0.11
996,81.08,Arabica,Mexico,Typica,7.42,7.25,7.42,7.17,7.25,10.0,1200.0,0.1
999,81.0,Arabica,El Salvador,Bourbon,7.42,7.08,7.33,7.25,7.58,10.0,1450.0,0.0
1001,81.0,Arabica,Guatemala,Bourbon,7.42,7.17,7.5,7.25,7.17,10.0,3280.0,0.09
1002,81.0,Arabica,Colombia,Caturra,7.67,7.42,5.25,7.67,7.75,10.0,1600.0,0.0
1003,81.0,Arabica,Guatemala,Bourbon,7.5,7.0,7.25,7.5,7.25,10.0,1219.2,0.11
1004,81.0,Arabica,Taiwan,Typica,7.25,7.17,7.25,7.5,7.33,10.0,758.0,0.12
1005,81.0,Arabica,Honduras,Caturra,7.42,7.25,7.33,7.25,7.17,10.0,1350.0,0.12
1007,81.0,Arabica,"Tanzania, United Republic Of",Other,7.33,7.08,7.42,7.17,7.33,10.0,1525.0,0.12
1008,81.0,Arabica,Uganda,SL14,7.33,7.17,7.33,7.42,7.42,10.0,1700.0,0.12
1009,81.0,Arabica,Taiwan,Typica,7.5,7.33,7.33,7.33,7.33,10.0,1100.0,0.11
1011,81.0,Arabica,Mexico,Other,7.08,7.33,7.33,7.42,7.25,10.0,950.0,0.12
1012,81.0,Arabica,Mexico,Typica,7.58,7.5,7.67,7.58,7.5,10.0,1100.0,0.0
1013,80.92,Arabica,Taiwan,Other,7.33,7.25,7.33,7.33,7.25,10.0,200.0,0.0
1014,80.92,Arabica,Guatemala,Bourbon,7.67,7.33,7.58,7.67,7.5,9.33,1901.0,0.1
1015,80.92,Arabica,Kenya,SL28,7.17,7.5,7.5,8.0,7.75,10.0,1600.0,0.11
1016,80.92,Arabica,Mexico,Bourbon,7.5,7.17,7.42,7.5,7.33,10.0,1100.0,0.11
1017,80.92,Arabica,Myanmar,Other,7.17,7.0,7.58,7.33,7.0,10.0,1066.8,0.0
